Time,Mean RTT,Std Dev,Elevation,State
Thu Mar 12 16:15:31 2026,26.8,28.077749197540747,9.8,0
Thu Mar 12 16:16:08 2026,23.5,9.749358953285082,8.5,0
Thu Mar 12 16:25:31 2026,18.0,0.5577733510227174,0.6666666666666679,0
Thu Mar 12 16:26:05 2026,18.0,0.7370277311900887,1.0,0
Thu Mar 12 16:26:50 2026,17.683333333333334,0.43748015828022285,0.6833333333333336,0
Thu Mar 12 16:27:40 2026,18.033333333333335,0.4582575694955844,0.7000000000000028,0
Thu Mar 12 16:28:31 2026,19.116666666666667,1.406433629985985,1.4499999999999993,0
Thu Mar 12 16:29:57 2026,40.0,0.0,0.0,0
Thu Mar 12 21:16:38 2026,114.54166666666667,118.40912332295646,89.54166666666667,1
Thu Mar 12 21:16:52 2026,129.92592592592592,120.51656079814009,104.5925925925926,1
Thu Mar 12 21:17:11 2026,103.5625,100.80464252632966,72.89583333333333,1
Thu Mar 12 21:17:25 2026,51.25925925925926,31.899834659495575,26.59259259259259,1
Thu Mar 12 21:17:44 2026,107.3125,113.97917809053742,79.64583333333333,1
Thu Mar 12 21:17:59 2026,102.14814814814815,67.4935956927293,73.48148148148148,1
Thu Mar 12 21:18:13 2026,31.037037037037038,10.226381333172931,11.037037037037038,0
Thu Mar 12 21:18:33 2026,33.03703703703704,12.153792726577311,12.037037037037038,0
Thu Mar 12 21:18:59 2026,38.907407407407405,10.01268057469174,16.407407407407405,0
Thu Mar 12 21:19:41 2026,270.31481481481484,298.7061651755025,250.31481481481484,1
Thu Mar 12 21:20:02 2026,434.93333333333334,301.1713724037455,304.93333333333334,1
Thu Mar 12 21:20:26 2026,465.73809523809524,269.34172925891266,312.73809523809524,1
Fri Mar 13 11:18:44 2026,169.73809523809524,124.4982902012656,124.07142857142858,1
Fri Mar 13 23:30:17 2026,28.433333333333334,9.077199763999664,9.100000000000001,0
Fri Mar 13 23:30:42 2026,45.53333333333333,29.47737362038137,31.866666666666667,0
Fri Mar 13 23:31:25 2026,53.86666666666667,9.885117882734406,10.533333333333331,0
Wed Mar 25 15:02:23 2026,52.2,7.225264316580013,7.866666666666667,0,1190.0
Wed Mar 25 20:15:18 2026,64.5,27.31747507447283,29.166666666666664,1,1600.0
Wed Mar 25 20:15:36 2026,38.56666666666666,20.44928686613138,26.566666666666663,0,1150.0
Wed Mar 25 20:16:08 2026,92.06666666666666,13.243698711294948,19.39999999999999,1,1380.0
Wed Mar 25 20:16:40 2026,134.25,113.26600328430416,114.25,1,1430.0
Wed Mar 25 20:17:16 2026,465.3084321339925,343.5550448260842,336.66518580118816,1,1160.0
Wed Mar 25 20:17:48 2026,131.70833333333334,8.160180247192256,8.708333333333343,1,1190.0
Wed Mar 25 20:18:21 2026,306.125,81.9996083154602,81.79166666666666,1,1360.0
Wed Mar 25 20:18:43 2026,151.06666666666666,18.485309482577417,20.066666666666663,1,1230.0
Wed Mar 25 20:19:59 2026,234.4,106.298405966934,112.73333333333333,1,1120.0
Wed Mar 25 20:20:18 2026,61.06666666666667,4.730045806684471,8.06666666666667,0,1220.0
Wed Mar 25 20:20:53 2026,95.29166666666667,9.517801304222877,14.291666666666671,1,2200.0
Wed Mar 25 20:21:22 2026,97.86666666666667,57.855989798425846,63.53333333333334,1,1570.0
Wed Mar 25 20:21:41 2026,47.766666666666666,15.181714147106197,16.766666666666666,0,1150.0
Wed Mar 25 20:22:12 2026,157.46666666666667,59.10164502316703,59.46666666666667,1,7570.0
Wed Mar 25 20:22:41 2026,30.766666666666666,2.9242282932615082,5.266666666666666,0,6070.0
Wed Mar 25 20:23:03 2026,274.6,124.40353692721119,137.60000000000002,1,9080.0
Wed Mar 25 20:23:36 2026,174.70833333333331,39.63310467413714,54.708333333333314,1,8720.0
Wed Mar 25 20:24:09 2026,142.95833333333334,33.54772202069431,41.29166666666667,1,8070.0
Wed Mar 25 20:24:28 2026,40.5,19.46107225548822,20.166666666666668,0,9210.0
Wed Mar 25 20:24:59 2026,109.73333333333333,33.71475114018261,47.733333333333334,1,8740.0
Wed Mar 25 20:25:33 2026,229.66666666666666,218.74833332698407,170.66666666666666,1,7150.0
Wed Mar 25 20:25:52 2026,162.63333333333333,136.85492724455014,144.96666666666667,1,6100.0
Wed Mar 25 20:26:21 2026,89.23333333333333,25.438728130330905,34.733333333333334,1,5760.0
Wed Mar 25 20:26:50 2026,61.6,47.08309439467395,39.6,1,6170.0
Wed Mar 25 20:27:09 2026,164.26666666666668,153.80830782358785,151.93333333333334,1,6690.0
Wed Mar 25 20:27:37 2026,49.03333333333333,4.318435930853772,5.533333333333331,0,8550.0
Wed Mar 25 20:28:08 2026,19.666666666666668,1.316561177208766,2.0,0,5350.0
Wed Mar 25 20:28:33 2026,39.766666666666666,22.862293070565876,27.43333333333333,0,5800.0
Wed Mar 25 20:29:14 2026,74.96666666666667,14.91472054343925,14.633333333333333,1,1780.0
Wed Mar 25 20:29:46 2026,74.0,18.469193569593426,30.333333333333336,1,1720.0
Wed Mar 25 20:30:05 2026,46.0,14.625700363097526,20.333333333333332,0,1270.0
Wed Mar 25 20:30:37 2026,153.13333333333335,125.00179554265966,108.13333333333335,1,1150.0
Wed Mar 25 20:31:09 2026,38.0,11.335784048754634,14.0,0,1290.0
